timestamp,amount_lent,amount_used,rate
1471883482,1669.372891,1411.722449,6.3056
1471887111,1667.034941,1424.442778,6.3261
1471890705,1580.154206,1332.562043,5.4923
1471894313,1578.403438,1348.059276,5.3857
1471897907,1824.967157,1482.201535,5.2592
1471901504,1853.10569,1511.573209,5.1294
1471905110,1881.571524,1578.815347,4.9481
1471908703,1839.578781,1536.822604,4.798
1471912297,1839.132227,1536.376049,4.5747
1471915889,1833.006597,1530.25042,4.519
1471919512,1874.724681,1571.968504,4.5171
1471923106,1897.421261,1594.865084,4.464
1471926698,1802.121012,1579.509886,4.4046
1471930288,1802.637799,1580.026673,4.3722
1471933899,1779.752508,1557.141382,4.2689
1471937512,1756.629072,1534.017946,4.2042
1471941099,1765.745014,1543.133888,4.1509
1471944707,1728.162091,1518.393136,4.1305
1471948331,1716.631227,1507.463452,4.0397
1471951944,1697.883286,1488.715512,3.9782
1471955555,1662.98952,1453.821746,3.858
1471959133,1636.712358,1425.391638,3.6518
1471962738,1616.740364,1407.493053,3.6018
1471966342,1549.949747,1343.358036,3.4202
1471969953,1534.162442,1327.570731,3.3729
1471973545,1589.655377,1385.691955,3.3191
1471977156,1712.669455,1459.706033,3.2164
1471980737,1680.810891,1475.324135,3.1807
1471984344,1713.921666,1508.212415,3.17
1471987955,1744.978945,1539.608058,3.1698
1471991539,1731.181066,1525.810179,3.1212
1471995149,1776.971257,1571.60037,3.0805
1471998758,1797.30477,1589.422636,3.0966
1472002339,1820.158065,1612.275932,3.1233
1472005948,1808.713047,1600.830914,3.0633
1472009540,1801.432927,1593.653004,3.0397
1472013151,1825.913648,1618.133726,3.135
1472016734,1846.689401,1638.909478,3.1925
1472020330,1844.511391,1636.731468,3.1793
1472023930,1860.448474,1652.668551,3.2541
1472027532,1876.59729,1668.817367,3.3516
1472031137,1882.922064,1674.742141,3.3031
1472034739,1883.085652,1675.167325,3.2984
1472038347,1889.874802,1689.512423,3.4016
1472041939,1926.29095,1725.928571,3.6062
1472045529,1797.387982,1597.367557,3.5713
1472049150,1803.149729,1603.129304,3.9839
1472052737,1811.831521,1611.811096,4.1015
1472056346,1825.117096,1631.803484,4.3254
1472059935,1794.525578,1609.411966,3.7458
1472063553,1814.697499,1631.782247,3.6643
1472067141,1769.001333,1586.086081,3.4915
1472070761,1819.848692,1580.479633,3.2787
1472074343,1812.931095,1636.331222,3.2634
1472077931,1793.198445,1645.959268,3.2744
1472081539,1788.1731,1640.933923,3.0518
1472085153,1796.217817,1649.220978,3.0011
1472088744,1784.892207,1637.445804,2.9149
1472092337,1822.215184,1674.768781,2.9131
1472095939,1820.584885,1673.138483,2.7839
1472099534,1836.33492,1691.778517,2.7841
1472103155,1846.443941,1722.096313,2.7087
1472106742,1890.872515,1766.524887,2.7906
1472110335,1922.954338,1791.766677,2.809
1472113949,1905.293603,1765.964742,2.6407
1472117536,1942.360525,1803.031663,2.6385
1472121160,1950.638077,1811.309215,2.6856
1472124753,1929.601172,1790.27231,2.5191
1472128353,1876.899081,1737.480401,2.4523
1472131952,1839.140676,1699.721997,2.4087
1472135556,1792.086694,1652.668014,2.3756
1472139155,1701.229205,1561.810525,2.2698
1472142748,1721.365885,1582.047205,2.2559
1472146348,1711.938422,1572.809559,2.2061
1472149936,1709.970646,1570.841783,2.182
1472153558,1756.761473,1568.47366,2.1579
1472157159,1779.790479,1591.502666,2.1421
1472160752,1803.113902,1614.82609,2.1373
1472164346,1800.938476,1612.650664,2.1296
1472167942,1811.180499,1622.892687,2.1249
1472171537,1810.188194,1622.004357,2.1241
1472175141,1792.270789,1607.086952,2.103
1472178745,1827.308526,1639.559852,2.0941
1472182340,1847.90819,1660.159516,2.0625
1472185930,1843.356396,1655.607722,2.0416
1472189532,1843.449545,1656.081722,2.044
1472193150,1826.960956,1639.593134,2.0417
1472196750,1798.763515,1610.244892,2.0368
1472200339,1788.495259,1599.976636,2.0372
1472203932,1787.390064,1598.871442,2.035
1472207549,1785.615337,1597.096714,2.0319
1472211151,1764.814726,1569.180176,2.0208
1472214733,1817.633708,1621.999158,1.9347
1472218336,1820.000291,1624.365741,1.9051
1472221941,1814.428522,1618.793972,1.9042
1472225539,1842.819514,1647.184964,1.9016
1472229143,1844.668113,1649.033563,1.8913
1472232739,1848.237892,1652.450642,1.8907
1472236337,1878.106825,1651.969235,1.8894
1472239952,1879.371849,1653.234259,1.895
1472243547,1873.79949,1647.6619,1.8951
1472247149,1872.779124,1646.641534,1.8951
1472250753,1850.48051,1624.394805,1.8945
1472254355,1843.447455,1617.361749,1.8947
1472257931,1840.650421,1614.616601,1.8943
1472261535,1845.821289,1619.787469,1.8932
1472265134,1849.761754,1621.668356,1.8915
1472268737,1842.661051,1614.567654,1.8908
1472272330,1842.978712,1626.179266,1.8896
1472275937,1852.01873,1637.454548,1.8879
1472279545,1855.861666,1641.297484,1.8872
1472283148,1855.053678,1640.489496,1.886
1472286751,1854.536808,1639.61138,1.8907
1472290328,1839.966282,1625.040855,1.8977
1472293939,1827.266786,1612.341359,1.9021
1472297540,1831.370865,1616.445437,1.8991
1472301147,1841.730051,1626.307201,1.8936
1472304754,1830.863527,1615.440677,1.891
1472308344,1827.906852,1612.484001,1.8894
1472311924,1844.530988,1629.108138,1.831
1472315538,1869.407734,1653.984884,1.8555
1472319149,1862.368062,1646.945212,1.8402
1472322754,1881.168539,1660.745689,1.8559
1472326328,1895.109731,1674.916881,1.8691
1472329928,1875.110939,1654.918089,1.859
1472333528,1850.443319,1630.250469,1.8367
1472337123,1838.163099,1617.970249,1.8275
1472340730,1845.556213,1636.144492,1.8225
1472344330,1835.555314,1626.249141,1.8217
1472347932,1827.315934,1618.009761,1.815
1472351535,1837.453309,1629.957751,1.5047
1472355134,1836.287941,1628.792383,1.4942
1472358725,1796.862594,1589.615098,1.4799
1472362333,1790.170722,1582.923226,1.4848
1472365943,1840.959291,1635.171795,1.4982
1472369546,1852.545128,1646.757632,1.4981
1472373144,1843.443561,1637.656065,1.4906
1472376747,1841.54644,1635.758944,1.4883
1472380345,1842.375996,1636.192277,1.4881
1472383920,1832.730491,1626.546772,1.4869
1472387522,1810.579071,1604.395352,1.4737
1472391129,1823.881444,1619.766261,1.4716
1472394749,1871.189823,1667.07464,1.4865
1472398325,1905.228042,1637.622859,1.4731
1472401935,1879.862881,1612.257698,1.466
1472405537,1877.0294,1609.424217,1.4659
1472409135,1810.364953,1608.069775,1.4113
1472412720,1805.109841,1602.814662,1.4068
1472416341,1826.382091,1624.086912,1.3722
1472419920,1824.990567,1622.308931,1.372
1472423523,1835.308499,1632.626863,1.3714
1472427126,1838.802219,1636.120583,1.3711
1472430741,1860.232665,1657.603239,1.3767
1472434327,1896.870816,1689.42714,1.385
1472437938,1904.808631,1693.425752,1.3753
1472441520,1923.003922,1711.413066,1.3836
1472445132,1924.913807,1713.322951,1.383
1472448767,2005.273911,1716.766158,1.5028
1472452331,2006.812978,1718.305225,1.5022
1472455935,2002.972996,1714.465242,1.5015
1472459541,1993.045414,1704.53766,1.5005
1472463124,2040.138602,1751.630848,1.499
1472466736,2038.022293,1749.514539,1.4958
1472470345,2060.525189,1772.017435,1.564
1472473922,2070.479626,1781.971872,1.5886
1472477533,2087.665729,1799.157976,1.6335
1472481118,2146.808291,1890.685603,2.5555
1472484733,2162.513258,1906.39057,3.0478
1472488316,2211.917133,1955.647745,4.4411
1472491931,2202.595652,2018.691392,4.5359
1472495528,2215.724114,2036.334119,5.1684
1472499145,2213.344308,2033.954314,5.3803
1472502734,2234.415063,2055.025068,5.955
1472506321,2219.577389,2040.187394,5.69
1472509944,2219.051531,2039.661536,5.6902
1472513535,2219.051531,2039.661536,5.6902
1472517140,2219.051996,2039.714198,5.7165
1472520720,2230.722665,2051.191985,6.0685
1472524335,2249.141651,2069.757671,6.7832
1472527937,2285.512297,2106.318317,7.4781
1472531519,2346.090094,2166.896113,8.5968
1472535129,2392.590433,2207.733293,9.5331
1472538736,2439.498627,2237.10331,10.8064
1472542338,2483.710965,2276.962932,11.186
1472545934,2484.523225,2277.775192,11.2133
1472549532,2486.235285,2279.487252,11.2978
1472553130,2419.422424,2210.693877,10.7901
1472556735,2430.638948,2221.910402,11.099
1472560329,2460.889136,2252.160589,11.5512
1472563929,2452.288851,2238.901604,11.7785
1472567535,2520.769088,2240.442852,12.1242
1472571139,2538.299569,2257.973333,12.3186
1472574672,2534.67798,2254.351744,12.3826
1472578284,2528.987028,2250.813312,12.3558
1472581875,2503.616679,2263.55614,12.649
1472585493,2501.249874,2261.757823,12.6214
1472589079,2482.790803,2242.016586,12.5731
1472592698,2426.856383,2185.847722,11.8634
1472596277,2426.648359,2185.691515,11.8911
1472599888,2426.79654,2185.839696,11.9138
1472603473,2431.274834,2190.143634,12.0784
1472607093,2489.301924,2268.483081,12.8967
1472610685,2488.460894,2278.221306,12.9416
1472614271,2487.550447,2277.310859,13.0425
1472617890,2481.599457,2289.317425,13.0187
1472621474,2480.839507,2295.211805,13.081
1472625067,2491.992283,2314.102943,13.0893
1472628677,2499.760523,2321.853122,13.0893
1472632292,2625.962537,2449.813197,14.5324
1472635875,2600.478793,2424.329453,15.3024
1472639489,2588.227396,2412.078056,15.2123
1472643076,2633.019699,2456.395088,15.7804
1472646692,2769.786777,2592.102165,17.1484
1472650291,2778.230245,2600.545633,17.3024
1472653883,2714.577912,2536.224651,16.8251
1472657482,2661.198078,2481.189204,16.1154
1472661081,2651.985453,2471.868004,16.3479
1472664678,2686.795828,2506.566813,16.6773
1472668298,2647.675884,2467.446869,16.453
1472671891,2636.518352,2456.289336,16.3022
1472675484,2593.802883,2413.085008,15.9016
1472679078,2623.13013,2407.412256,15.8544
1472682672,2617.789572,2402.071697,15.7338
1472686298,2607.160904,2391.44303,15.6297
1472689874,2565.749633,2347.741697,15.25
1472693485,2546.304199,2328.296263,15.0479
1472697096,2532.843855,2314.078089,14.9128
1472700699,2527.825801,2307.061587,14.7651
1472704285,2547.92952,2314.312026,14.6873
1472707901,2533.579972,2299.962479,14.5242
